age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ci, chi, ce, che.",Practice soft and hard 'c' sounds.,"[""'ci' and 'ce' sound like 'chee' and 'chay'; 'chi' and 'che' have harder 'k' tone.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,intonation_practice,¿Qué haces?,Use rising intonation at the end to show a question.,"[""Start neutral and rise slightly on 'haces'."", 'Keep speech relaxed and natural.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Les chaussettes de l’archiduchesse sont-elles sèches?,Practice 'ch' and 's' balance clearly.,"['Keep rhythm smooth between syllables.', 'Repeat to build speed and clarity.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ich, acht, Buch.",Distinguish 'ch' sound after front and back vowels.,"[""Use soft 'ch' for 'ich' and harsher for 'Buch'."", 'Feel tongue placement change.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,قطعت قطط قططاً فقط.,Practice 'q' deep sound repetition.,"[""Say slowly to keep throat 'q' strong."", 'Maintain rhythm without dropping clarity.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"vino, vento, volo.",Practice 'v' sound with soft lips.,"['Place top teeth lightly on lower lip.', 'Use steady airflow for smooth sound.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"Repite: taza, casa, cosa.",Practice different 'a' and 'o' vowel sounds.,"['Say each word slowly.', 'Notice how the vowel changes the mouth shape.', 'Repeat to feel the difference.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,sound_drill,"lune, lune, lundi.",Focus on nasal 'un' and 'in' sounds.,"['Let air pass through the nose slightly.', 'Keep tongue relaxed and lips rounded.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Zehn zahme Ziegen ziehen zehn Zentner Zucker zum Zoo.,Practice 'z' and 'ts' sounds with rhythm.,"['Say slowly, then increase speed.', 'Keep consonants crisp and evenly spaced.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,intonation_practice,أنت سعيد؟,Raise tone at the end for a natural question sound.,"['Start low and rise slightly at the end.', 'Keep tone soft and expressive.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"Ripeti: cane, carne.",Distinguish between 'n' and 'rn' sounds.,"[""Keep 'n' smooth and 'rn' with a roll of the tongue."", 'Repeat to hear the small difference.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,intonation_practice,¿Puedes ayudarme?,Use rising tone at the end to show politeness in a question.,"['Start with calm tone.', ""Raise slightly at 'ayudarme' for gentle question.""]"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Un chasseur sachant chasser doit savoir chasser sans son chien.,Practice 'ch' and 's' combination.,"['Say in rhythm to build fluency.', ""Keep the 'ch' sound soft and consistent.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"Rot, Brot, Boot.",Practice vowel length difference: short vs long 'o'.,"[""Hold 'o' longer in 'Boot'."", 'Compare the rhythm and stress patterns.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"ر, ز, س.","Differentiate rolled 'r', buzzing 'z', and soft 's'.","[""Roll tongue slightly for 'ر'."", ""Keep 'ز' voiced, 'س' voiceless.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,sound_drill,"gli, chi, sci.",Focus on soft Italian consonant clusters.,"[""Say 'gli' softly, like 'lyee'."", ""Keep 'chi' as hard 'key', 'sci' as 'shee'.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Cómo poco coco como, poco coco compro.",Focus on rhythm and clear 'co' repetition.,"['Maintain steady speed and rhythm.', 'Keep vowels distinct and round.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"nez, née, non.",Practice nasal 'n' sounds with open vowels.,"['Keep air flowing through the nose.', ""Make 'non' longer with soft ending.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Danke schön!,Use falling tone for polite emphasis.,"[""Start strong on 'Danke', drop tone on 'schön'."", 'Keep speech soft and smooth.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,خرج خالد خروفاً خائفاً.,Focus on clear 'kh' and rolled 'r' sounds.,"[""Use strong throat sound for 'خ'."", 'Keep rhythm steady as you repeat.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,intonation_practice,Ciao!,Say with bright tone and falling intonation.,"['Smile while saying it.', 'Keep pitch cheerful and natural.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,sound_drill,"Repite: lleno, hielo.",Practice 'll' (y sound) and 'h' silent start.,"[""Say 'lleno' with soft 'y', 'hielo' with breath start."", 'Compare smoothness of the two words.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Tu viens?,Use rising tone to show it’s a question.,"['Keep voice soft, rise slightly at the end.', 'Make tone friendly, not sharp.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"gut, ganz, geben.",Practice strong 'g' and short vowels.,"[""Keep 'g' voiced and full."", 'Say each word slowly, emphasizing the start.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"ق, ك.",Differentiate deep 'q' and light 'k' sounds.,"[""Push tongue back for 'ق'."", ""Keep 'ك' forward with lighter tone.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Tre tigri contro tre tigri.,Repeat to practice double 'tr' and rolling 'r'.,"[""Say slowly, rolling each 'r'."", 'Increase speed gradually while keeping clarity.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"Repite: papa, papá.",Practice stress difference to change meaning.,"[""Say both slowly: 'papa' (potato), 'papá' (dad)."", ""Stress the last syllable for 'papá'.""]"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,easy,intonation_practice,Bonjour!,"Use a bright, cheerful tone with slight rise on 'jour'.","['Start softly, smile while speaking.', 'Lift tone slightly at the end for friendliness.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,sound_drill,"sehen, zehn, sehr.","Differentiate long vowels 'ee', 'ay', and 'eh'.","[""Elongate 'sehen', flatten 'zehn'."", 'Keep smooth airflow through vowels.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,زرع زيد زهوراً زرقاء في الزاوية.,Focus on repeating 'z' sounds clearly.,"[""Keep 'ز' voiced and consistent."", 'Maintain smooth rhythm and articulation.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ci, chi, gi, ghi.",Practice difference between soft and hard 'c' and 'g'.,"[""'ci' and 'gi' are soft ('chee', 'jee'); 'chi' and 'ghi' are hard ('key', 'ghee').""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,intonation_practice,¿Te gusta?,Raise tone at the end to express question naturally.,"['Keep voice light.', 'Lift tone slightly on the last syllable.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Je veux et j’exige du jasmin et des jonquilles.,Work on 'j' and 'zh' sounds with rhythm.,"[""Say slowly focusing on soft 'j' sounds."", 'Keep smooth rhythm as speed increases.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"Tag, Tagelicht, Tasse.",Practice 't' sound with short 'a' vowels.,"[""Keep 't' crisp and strong."", 'Avoid adding extra breath after consonant.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,intonation_practice,هل تحب المدرسة؟,Raise tone at the end to form a question naturally.,"['Begin soft and end with higher tone.', 'Maintain rhythm for smooth flow.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"mamma, mano, mare.",Focus on clear 'm' sound and open vowels.,"[""Keep lips closed before 'm'."", 'Project sound through nose gently.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Erre con erre cigarro, erre con erre barril.",Practice rolling 'r' consistently.,"['Start slowly focusing on tongue vibration.', 'Repeat rhythmically to master the roll.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"lait, laid, les.",Practice vowel differences 'è' and 'é'.,"[""Keep mouth open wider for 'è'."", ""Say 'é' with tense lips for higher pitch.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Guten Morgen!,Use falling tone for polite greeting.,"[""Start strong on 'Guten', lower tone on 'Morgen'."", 'Keep tone warm and natural.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"س, ش.",Distinguish between 's' and 'sh' sounds.,"[""Smile for 'س', push air softly for 'ش'."", 'Alternate between them slowly.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Che bella giornata!,Use rising-falling tone to express emotion.,"[""Rise slightly on 'bella', drop gently at the end."", 'Keep speech expressive and natural.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,intonation_practice,Adiós.,Say with falling tone to express closure.,"['Lower tone at the end.', 'Keep expression soft and polite.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Ces cerises sont si sûres qu’on ne sait si on les sème ou si on les sert.,Practice 's' and 'si' with flow.,"[""Keep air flowing smoothly through 's'."", 'Repeat several times with rhythm.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Brautkleid bleibt Brautkleid und Blaukraut bleibt Blaukraut.,Work on clear 'bl' sound transitions.,"['Keep consonants crisp and separate.', 'Maintain rhythm without pauses.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ص, س, ث.","Compare emphatic, soft, and breathy consonants.","['Say each letter slowly.', 'Notice difference in air pressure and tongue placement.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Se l’arcivescovo di Costantinopoli si disarcivescoviscostantinopolizzasse.,Practice long complex rhythm and clarity.,"['Say in parts, then combine slowly.', 'Focus on articulation and pacing.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"Repite: pero, perro, pera.","Differentiate between single 'r', rolled 'rr', and soft vowels.","[""Say 'pero' with soft 'r'."", ""Roll 'rr' in 'perro'."", ""Relax for 'pera'.""]"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,sound_drill,"roue, rue, roi.","Practice 'ou', 'u', and 'oi' vowel sounds.","[""Round lips for 'ou'."", ""Tighten for 'u'."", ""Blend 'o' and 'a' smoothly for 'oi'.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"gut, Mut, Hut.",Focus on long 'u' vowel with strong tone.,"['Hold vowel longer for clarity.', 'Keep tone smooth and consistent.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"ب, ف.",Distinguish between voiced 'b' and unvoiced 'f'.,"[""Close lips for 'b'."", ""Let air pass through teeth for 'f'.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Una rana nera nella rena.,Practice 'r' rolls and nasal 'n' sounds.,"['Repeat slowly to control rhythm.', ""Roll 'r' softly each time.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,intonation_practice,¡Hola!,Say with bright tone and rising start.,"[""Start mid-pitch, rise slightly on 'la'."", 'Keep tone friendly and short.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Cinq chiens chassent six chats.,Work on clear 'ch' and 's' alternation.,"['Say each word slowly.', 'Increase speed keeping clarity and rhythm.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Wie spät ist es?,Use rising tone for question expression.,"['Start low, raise pitch slightly at the end.', 'Keep speech smooth and curious.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ت, ث, ذ.","Compare flat, soft, and voiced dental sounds.","['Touch tongue to teeth.', ""Make soft 'th' sound for 'ث' and voiced for 'ذ'.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"piano, pieno, pane.","Practice soft 'ia', 'ie', and open 'a' vowels.","['Say each syllable clearly.', 'Focus on vowel shape and mouth movement.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Rosa roja reza rápido.,Work on rolled 'r' and rhythm.,"[""Keep each 'r' rolled briefly."", 'Repeat with strong breath support.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,intonation_practice,C’est vrai!,Say with falling tone to express certainty.,"['Start mid-pitch and lower naturally at the end.', 'Sound confident and calm.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Zwanzig Zwerge zeigen Handstand.,Focus on 'z' and 'tsv' sound combinations.,"['Start slowly keeping balance of syllables.', 'Increase tempo gradually with clarity.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,صرصر صرصور في صحن صغير.,Practice strong emphatic 'ṣ' and rolled 'r'.,"[""Use deep tone for 'ṣ'."", 'Repeat clearly keeping steady pace.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Dove vai?,Use rising tone for friendly question.,"[""Lift pitch slightly on 'vai'."", 'Keep voice warm and curious.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"vino, verano, viejo.",Practice 'v' sound with open vowels.,"[""Keep soft 'b/v' sound consistent."", 'Emphasize vowel differences.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"mère, mer, maire.",Practice open vs closed 'è' vowels.,"[""Hold mouth wider for 'mère'."", ""Say 'mer' with shorter vowel and lower tone.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,sound_drill,"Schule, Schüler, schön.",Practice long 'ü' and 'ö' vowels.,"[""Purse lips for 'ü', round for 'ö'."", 'Maintain steady breath for vowel clarity.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,intonation_practice,أين تسكن؟,Raise tone at the end for question pattern.,"['Start mid-tone, rise slightly at end.', 'Keep sound light and questioning.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Il papa pesca pesche fresche.,Focus on 'p' clarity and open vowels.,"[""Say each 'p' with clear pop."", 'Keep pace steady and vowels open.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,intonation_practice,¿Qué tal?,Use rising tone to show friendliness.,"[""Start softly on 'Qué'."", ""Lift pitch slightly on 'tal'."", 'Keep tone casual and warm.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"oui, huit, nuit.",Practice 'ui' and 'uit' vowel combinations.,"[""Say 'oui' smoothly like 'wee'."", ""Add soft 'h' start for 'huit'."", ""End 'nuit' with nasal airflow.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Wenn Fliegen hinter Fliegen fliegen, fliegen Fliegen Fliegen nach.",Practice 'fl' and 'ie' rhythm accurately.,"['Say in parts first.', 'Focus on identical word repetition clearly.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"ج, ش, س.","Distinguish between 'j', 'sh', and 's' sounds.","[""Say 'ج' with voiced tone."", ""Push air gently for 'ش'."", ""Keep 'س' soft and light.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"tetto, gatto, letto.",Practice double 'tt' sound and short vowels.,"[""Hold the 't' slightly longer."", 'Keep even rhythm and clear syllables.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Pepe Pecas pica papas con un pico.,Focus on 'p' clarity and rhythm.,"[""Emphasize each 'p' with a short breath."", 'Repeat slowly before speeding up.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Tu vas bien?,Use rising tone to indicate a question.,"[""Start mid-range on 'Tu vas'."", ""Raise tone softly at 'bien'.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,sound_drill,"König, Küche, Kühe.",Practice rounded 'ö' and 'ü' vowels.,"['Purse lips and keep airflow steady.', 'Alternate between words for muscle control.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,جرّب جرجس جرّة جديدة.,Practice rolled 'r' and doubled 'ج' sounds.,"['Say each syllable slowly at first.', 'Increase speed maintaining clear articulation.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Ti piace?,Use rising tone to make it a friendly question.,"[""Start at normal tone on 'Ti'."", ""Lift slightly at 'piace'.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"zapato, taza, queso.",Practice soft 'z' and 's' differences.,"[""Say 'z' with tongue near teeth."", ""Keep 's' longer and lighter.""]"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Les chaussettes sèchent sur le sèche-cheveux.,Focus on 'ch' and 's' alternation smoothly.,"['Say slowly first with rhythm.', ""Avoid slurring between 'sèche' and 'cheveux'.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,easy,intonation_practice,Hallo!,Use cheerful rising tone for greeting.,"['Lift tone slightly at the end.', 'Keep pitch bright and inviting.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ط, ت, د.","Compare emphatic, light, and voiced stops.","[""Press tongue back for 'ط'."", ""Keep 'ت' flat, 'د' voiced with vibration.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Una bottiglia di birra blu.,Practice double 'b' and 'r' sounds.,"[""Roll 'r' softly each time."", ""Keep 'b' clear and voiced at start.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,sound_drill,"juego, jamón, gente.",Practice strong 'h' sound for 'j'.,"['Blow air gently from throat.', 'Avoid harsh or raspy sound.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"chat, chaud, chou.",Practice soft 'ch' and rounded vowels.,"[""Say 'ch' like 'sh'."", ""Keep lips rounded for 'ou'.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Wie heißt du?,Use natural rising tone for a question.,"['Raise pitch at the end slightly.', 'Keep a friendly rhythm throughout.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,easy,intonation_practice,السلام عليكم.,Say with falling tone for a polite greeting.,"['Lower pitch gently at the end.', 'Keep tone calm and respectful.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"gelato, giorno, giacca.",Practice soft 'g' as in 'je'.,"[""Say 'gi' softly with tongue near roof of mouth."", 'Keep sound smooth, not harsh.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"Repite: silla, sal, sol.",Practice 's' and 'll' sounds clearly.,"[""Keep 's' soft and 'll' as 'y' sound."", 'Repeat with even pace and clear vowels.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Comment tu t’appelles?,Use rising tone for friendly question.,"[""Start low on 'Comment'."", ""Lift tone gently at 't’appelles'.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Fischers Fritze fischt frische Fische, frische Fische fischt Fischers Fritze.",Work on 'f' and 'sch' transitions.,"['Start slowly with focus on rhythm.', 'Increase speed maintaining clarity.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,sound_drill,"ظ, ض, ز.",Compare emphatic and voiced dental sounds.,"[""Keep 'ظ' deep, 'ض' thick, and 'ز' lighter."", 'Repeat clearly and slowly.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Come ti chiami?,"Use rising tone for question, keep sound soft.","[""Start flat on 'Come'."", ""Rise slightly at 'chiami'.""]"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Si suelta la soga, se zafa la sierra.",Practice clear 's' and 'z' contrast.,"[""Emphasize soft 's' and buzzing 'z'."", 'Maintain rhythm across phrase.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"rose, riz, rue.",Practice 'r' placement and vowel differences.,"[""Roll 'r' softly at the back of throat."", 'Say vowels slowly and clearly.']"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Wo wohnst du?,Use rising tone to ask politely.,"['Lift pitch slightly at the end.', 'Keep question tone natural and friendly.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,ركب راكب راحلة في طريق رملي.,Focus on repeating 'r' and 'ra' combinations.,"[""Roll 'r' softly."", 'Keep rhythm slow and controlled at first.']"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"casa, cosa, chiave.",Practice soft and hard 'c' sounds.,"[""Say 'ca' hard, 'co' open, 'chi' sharp."", 'Repeat clearly three times.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,medium,sound_repeat,"gente, gato, girasol.",Practice 'g' soft and hard forms.,"[""Soft 'g' before 'e/i'; hard before 'a/o/u'."", 'Say slowly to notice sound change.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Si mon tonton tond ton tonton, ton tonton sera tondu.",Work on 'ton' and 'tonton' clarity.,"['Repeat with rhythm to separate similar syllables.', ""Avoid slurring the repeated 't' sounds.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,easy,sound_repeat,"bitte, Butter, blau.",Focus on clear 'b' and short vowels.,"[""Keep lips firm for 'b'."", 'Say each word in one breath rhythmically.']"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,medium,intonation_practice,من أين أنت؟,Use rising tone to indicate question politely.,"[""Start low on 'من'."", ""Raise tone on 'أنت'.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,medium,sound_drill,"sce, sci, schi.",Practice 'sh' soft and 'sk' hard consonant clusters.,"[""Say 'sce' as 'she', 'schi' as 'ski'."", 'Alternate to feel difference.']"
11–12,Foreign Language,Spanish,Pronunciation practice – improving accent and intonation,hard,tongue_twister,"Un tigre, dos tigres, tres tigres.",Work on 'tr' clarity and rhythm.,"[""Roll 'r' softly in each word."", 'Maintain even pace without rushing.']"
11–12,Foreign Language,French,Pronunciation practice – improving accent and intonation,medium,sound_drill,"peur, père, pair.",Differentiate between open and rounded vowels.,"[""Say 'peur' with rounded lips."", ""Keep 'père' flat, 'pair' short.""]"
11–12,Foreign Language,German,Pronunciation practice – improving accent and intonation,medium,intonation_practice,Wie alt bist du?,Use rising tone to ask politely.,"[""Start steady on 'Wie alt'."", ""Raise tone slightly on 'du'.""]"
11–12,Foreign Language,Arabic,Pronunciation practice – improving accent and intonation,hard,tongue_twister,صاح صالح صباحاً صحواً.,Emphasize strong 'ṣ' and 'ḥ' sounds.,"[""Use clear deep 'ṣ'."", ""Keep throat open for 'ḥ'.""]"
11–12,Foreign Language,Italian,Pronunciation practice – improving accent and intonation,hard,tongue_twister,Sopra un ponte c’è un pesce che parla.,Focus on 'p' and 'ch' clarity with rhythm.,"[""Pause slightly after 'ponte'."", ""Keep 'ch' sound soft in 'pesce'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Good morning' → Spanish,Buenos días,"['Identify greeting used in the morning.', ""Translate 'Good' → 'Buenos', 'morning' → 'días'."", ""Combine: 'Buenos días'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),easy,sentence_translation,Translate: 'My name is Anna' → French,Je m'appelle Anna,"[""Identify structure for 'My name is'."", ""Use French reflexive verb 's’appeler'."", ""Form: 'Je m'appelle Anna'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'We are going to school.' → German,Wir gehen zur Schule.,"[""Translate subject 'We' → 'Wir'."", ""Use verb 'gehen' for 'to go'."", ""Add preposition 'zur Schule' for 'to school'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),medium,word_translation,Translate: 'Book' → Arabic,كتاب (kitāb),"[""Identify the noun 'Book'."", ""Find Arabic equivalent 'كتاب'."", ""Include pronunciation 'kitāb'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),easy,sentence_translation,Translate: 'I like pizza.' → Italian,Mi piace la pizza.,"['Recognize expression for liking things.', ""Use 'Mi piace' + object."", ""Add article 'la' before 'pizza'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'They live in Madrid.' → Spanish,Ellos viven en Madrid.,"[""Subject 'They' → 'Ellos'."", ""Verb 'to live' → 'viven' (present tense)."", ""Add location 'en Madrid'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),hard,paragraph_translation,Translate: 'She has a small red car.' → French,Elle a une petite voiture rouge.,"[""Translate subject 'She' → 'Elle'."", ""Verb 'has' → 'a'."", 'Adjectives in French follow the noun order rule.', ""Form: 'une petite voiture rouge'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Dog' → German,Hund,"[""Recognize the word 'Dog'."", ""Find German equivalent 'Hund'."", 'No article needed for single word translation.']"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Sun' → Arabic,شمس (shams),"[""Identify the English word 'Sun'."", ""Find Arabic word 'شمس'."", ""Add pronunciation '(shams)'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'We are friends.' → Italian,Siamo amici.,"[""Use verb 'essere' (to be)."", ""Form 'We are' → 'Siamo'."", ""Translate 'friends' → 'amici'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'I am studying at the library.' → Spanish,Estoy estudiando en la biblioteca.,"[""Use present continuous with 'estar'."", ""Form: 'Estoy estudiando'."", ""Add place: 'en la biblioteca'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),medium,word_translation,Translate: 'School' → French,École,"[""Identify English noun 'School'."", ""Translate to 'École'."", 'Remember accent on É.']"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'My brother plays football every day.' → German,Mein Bruder spielt jeden Tag Fußball.,"[""Subject: 'My brother' → 'Mein Bruder'."", ""Verb: 'plays' → 'spielt'."", ""Time phrase: 'jeden Tag'."", ""Object: 'Fußball'.""]"
